,Date,Open,Close,High,Low,Volume,S&P500,PeRatio,PsRatio,PbRatio,EnterpriseValueRevenueRatio,EnterpriseValueEDITDARatio,BasicEPS
0,2013-05-06,16.275356,16.45393,16.507143,16.225357,496641600,1617.5,10.04,2.545,3.268,8.62,26.376,0.363
1,2013-05-07,16.606071,16.380714,16.633928,16.203571,483753200,1625.96,10.04,2.545,3.268,8.62,26.376,0.363
2,2013-05-08,16.394285,16.565714,16.620358,16.278929,472598000,1632.69,10.04,2.545,3.268,8.62,26.376,0.363
3,2013-05-09,16.421785,16.313213,16.535713,16.270714,398487600,1626.67,10.04,2.545,3.268,8.62,26.376,0.363
4,2013-05-10,16.356071,16.1775,16.418215,16.088572,334852000,1633.7,10.04,2.545,3.268,8.62,26.376,0.363
5,2013-05-13,16.125357,16.240713,16.353571,16.125,316948800,1633.77,10.04,2.545,3.268,8.62,26.376,0.363
6,2013-05-14,16.208929,15.852143,16.257143,15.791071,447118000,1650.34,10.04,2.545,3.268,8.62,26.376,0.363
7,2013-05-15,15.684286,15.316071,15.75,15.084286,741613600,1658.78,10.04,2.545,3.268,8.62,26.376,0.363
8,2013-05-16,15.115714,15.520714,15.6375,14.960714,603204000,1650.47,10.04,2.545,3.268,8.62,26.376,0.363
9,2013-05-17,15.680357,15.473571,15.7175,15.393214,427904400,1667.47,10.04,2.545,3.268,8.62,26.376,0.363
10,2013-05-20,15.425357,15.818929,15.921429,15.360714,451578400,1666.29,10.04,2.545,3.268,8.62,26.376,0.363
11,2013-05-21,15.648214,15.702143,15.91,15.507143,456022000,1669.16,10.04,2.545,3.268,8.62,26.376,0.363
12,2013-05-22,15.858929,15.7625,16.012501,15.650714,443038400,1655.35,10.04,2.545,3.268,8.62,26.376,0.363
13,2013-05-23,15.569643,15.790714,15.934286,15.563929,353021200,1650.51,10.04,2.545,3.268,8.62,26.376,0.363
14,2013-05-24,15.744643,15.898214,15.916429,15.727143,276166800,1649.6,10.04,2.545,3.268,8.62,26.376,0.363
15,2013-05-28,16.067858,15.765714,16.111071,15.744643,386145200,1660.06,10.04,2.545,3.268,8.62,26.376,0.363
16,2013-05-29,15.714286,15.891071,15.982143,15.692857,330576400,1648.36,10.04,2.545,3.268,8.62,26.376,0.363
17,2013-05-30,15.916071,16.127857,16.232143,15.875357,353519600,1654.41,10.04,2.545,3.268,8.62,26.376,0.363
18,2013-05-31,16.160713,16.061787,16.325001,16.053572,384302800,1630.74,10.04,2.545,3.268,8.62,26.376,0.363
19,2013-06-03,16.0975,16.097143,16.155714,15.802857,372352400,1640.42,10.04,2.545,3.268,8.62,26.376,0.363
20,2013-06-04,16.186428,16.046785,16.229643,15.978214,292728800,1631.38,10.04,2.545,3.268,8.62,26.376,0.363
21,2013-06-05,15.916071,15.896786,16.097143,15.846786,290589600,1608.9,10.04,2.545,3.268,8.62,26.376,0.363
22,2013-06-06,15.909643,15.659286,15.964286,15.501786,416934000,1622.56,10.04,2.545,3.268,8.62,26.376,0.363
23,2013-06-07,15.589286,15.778929,15.83,15.456071,404535600,1643.38,10.04,2.545,3.268,8.62,26.376,0.363
24,2013-06-10,15.883214,15.674643,16.03857,15.6,450153200,1642.81,10.04,2.545,3.268,8.62,26.376,0.363
25,2013-06-11,15.562143,15.628571,15.812857,15.475714,286112400,1626.13,10.04,2.545,3.268,8.62,26.376,0.363
26,2013-06-12,15.696429,15.435357,15.758929,15.410714,265227200,1612.52,10.04,2.545,3.268,8.62,26.376,0.363
27,2013-06-13,15.446429,15.57,15.612143,15.3125,285832400,1636.36,10.04,2.545,3.268,8.62,26.376,0.363
28,2013-06-14,15.55,15.358929,15.581786,15.303571,271866000,1626.73,10.04,2.545,3.268,8.62,26.376,0.363
29,2013-06-17,15.408571,15.428571,15.560714,15.37,259414400,1639.04,10.04,2.545,3.268,8.62,26.376,0.363
30,2013-06-18,15.412857,15.420357,15.532143,15.364643,195025600,1651.81,10.04,2.545,3.268,8.62,26.376,0.363
31,2013-06-19,15.407143,15.107143,15.416429,15.107143,310940000,1628.93,10.04,2.545,3.268,8.62,26.376,0.363
32,2013-06-20,14.975,14.887143,15.213571,14.8275,357310800,1588.19,10.04,2.545,3.268,8.62,26.376,0.363
33,2013-06-21,14.946071,14.767857,15.0,14.575,481118400,1592.43,10.04,2.545,3.268,8.62,26.376,0.363
34,2013-06-24,14.55,14.376429,14.595,14.216071,480746000,1573.09,10.04,2.545,3.268,8.62,26.376,0.363
35,2013-06-25,14.489286,14.379643,14.563929,14.243929,314162800,1588.03,10.04,2.545,3.268,8.62,26.376,0.363
36,2013-06-26,14.425,14.216786,14.456786,14.130714,367724000,1603.26,10.04,2.545,3.268,8.62,26.376,0.363
37,2013-06-27,14.258929,14.063571,14.335357,14.055,337246000,1613.2,10.04,2.545,3.268,8.62,26.376,0.363
38,2013-06-28,13.977143,14.161786,14.295357,13.888214,578516400,1606.28,10.04,2.545,3.268,8.62,26.376,0.363
39,2013-07-01,14.381786,14.615,14.723929,14.329286,391053600,1614.96,9.468,2.221,2.659,9.429,30.57,0.268
40,2013-07-02,14.641429,14.946071,15.058214,14.623929,469865200,1614.08,9.468,2.221,2.659,9.429,30.57,0.268
41,2013-07-03,15.030714,15.028571,15.106429,14.908929,240928800,1615.41,9.468,2.221,2.659,9.429,30.57,0.268
42,2013-07-05,15.013929,14.907857,15.1175,14.833929,274024800,1631.89,9.468,2.221,2.659,9.429,30.57,0.268
43,2013-07-08,15.003929,14.823214,15.035714,14.666071,298138400,1640.46,9.468,2.221,2.659,9.429,30.57,0.268
44,2013-07-09,14.771429,15.083929,15.125,14.656429,352584400,1652.32,9.468,2.221,2.659,9.429,30.57,0.268
45,2013-07-10,14.985714,15.026071,15.171429,14.9375,281405600,1652.62,9.468,2.221,2.659,9.429,30.57,0.268
46,2013-07-11,15.105357,15.260357,15.294643,15.041786,326292400,1675.02,9.468,2.221,2.659,9.429,30.57,0.268
47,2013-07-12,15.273214,15.2325,15.349643,15.121786,279563200,1680.19,9.468,2.221,2.659,9.429,30.57,0.268
48,2013-07-15,15.178929,15.265714,15.409286,15.171429,241917200,1682.5,9.468,2.221,2.659,9.429,30.57,0.268
49,2013-07-16,15.232857,15.364286,15.3825,15.148929,216538000,1676.26,9.468,2.221,2.659,9.429,30.57,0.268
50,2013-07-17,15.346429,15.368214,15.436429,15.293571,198990400,1680.91,9.468,2.221,2.659,9.429,30.57,0.268
51,2013-07-18,15.477857,15.42,15.531071,15.378929,218878800,1689.37,9.468,2.221,2.659,9.429,30.57,0.268
52,2013-07-19,15.467857,15.176786,15.499286,15.155357,268721600,1692.09,9.468,2.221,2.659,9.429,30.57,0.268
53,2013-07-22,15.337857,15.225357,15.348214,15.195357,207796400,1695.53,9.468,2.221,2.659,9.429,30.57,0.268
54,2013-07-23,15.214286,14.963929,15.248571,14.953929,369395600,1692.39,9.468,2.221,2.659,9.429,30.57,0.268
55,2013-07-24,15.676071,15.7325,15.878214,15.545,591936800,1685.94,9.468,2.221,2.659,9.429,30.57,0.268
56,2013-07-25,15.739286,15.660714,15.764286,15.564643,229493600,1690.25,9.468,2.221,2.659,9.429,30.57,0.268
57,2013-07-26,15.546429,15.749643,15.751429,15.512143,200152400,1691.65,9.468,2.221,2.659,9.429,30.57,0.268
58,2013-07-29,15.742857,15.9925,16.071072,15.721429,248057600,1685.33,9.468,2.221,2.659,9.429,30.57,0.268
59,2013-07-30,16.07,16.190001,16.326786,16.043928,309422400,1685.96,9.468,2.221,2.659,9.429,30.57,0.268
60,2013-07-31,16.249643,16.161785,16.33357,16.051071,322957600,1685.73,9.468,2.221,2.659,9.429,30.57,0.268
61,2013-08-01,16.276787,16.309999,16.314285,16.187857,206250800,1706.87,9.468,2.221,2.659,9.429,30.57,0.268
62,2013-08-02,16.3575,16.519285,16.530357,16.309286,274783600,1709.67,9.468,2.221,2.659,9.429,30.57,0.268
63,2013-08-05,16.596071,16.766071,16.809643,16.505358,318855600,1707.14,9.468,2.221,2.659,9.429,30.57,0.268
64,2013-08-06,16.715,16.616072,16.853214,16.506071,334857600,1697.37,9.468,2.221,2.659,9.429,30.57,0.268
65,2013-08-07,16.564285,16.606428,16.678572,16.491785,298858000,1690.91,9.468,2.221,2.659,9.429,30.57,0.268
66,2013-08-08,16.566429,16.464643,16.575001,16.355356,255777200,1697.48,9.468,2.221,2.659,9.429,30.57,0.268
67,2013-08-09,16.379999,16.230356,16.445,16.201786,266865200,1691.42,9.468,2.221,2.659,9.429,30.57,0.268
68,2013-08-12,16.316429,16.691429,16.737499,16.308214,364434000,1689.47,9.468,2.221,2.659,9.429,30.57,0.268
69,2013-08-13,16.819286,17.484644,17.66643,16.71607,881941200,1694.16,9.468,2.221,2.659,9.429,30.57,0.268
70,2013-08-14,17.781429,17.803572,18.008928,17.621429,756372400,1685.39,9.468,2.221,2.659,9.429,30.57,0.268
71,2013-08-15,17.729286,17.782499,17.942858,17.467142,490294000,1661.32,9.468,2.221,2.659,9.429,30.57,0.268
72,2013-08-16,17.862499,17.940357,17.962143,17.816429,362306000,1655.83,9.468,2.221,2.659,9.429,30.57,0.268
73,2013-08-19,18.012142,18.133572,18.347857,18.0,510518400,1646.06,9.468,2.221,2.659,9.429,30.57,0.268
74,2013-08-20,18.20393,17.895357,18.234644,17.886429,358688400,1652.35,9.468,2.221,2.659,9.429,30.57,0.268
75,2013-08-21,17.985357,17.941429,18.112499,17.9,335879600,1642.8,9.468,2.221,2.659,9.429,30.57,0.268
76,2013-08-22,18.035,17.962856,18.056786,17.792856,244207600,1656.96,9.468,2.221,2.659,9.429,30.57,0.268
77,2013-08-23,17.973928,17.893572,17.976786,17.833929,222731600,1663.5,9.468,2.221,2.659,9.429,30.57,0.268
